Serial No.,Date,Time,Device Name,battery_percentage,filled_level,litres
1,31/12/2024,23:46:40,Vinaya block 1 OHT,100,100,18735.938
2,31/12/2024,23:26:40,Vinaya block 1 OHT,100,100,18735.938
3,31/12/2024,23:06:40,Vinaya block 1 OHT,100,100,18735.938
4,31/12/2024,22:46:40,Vinaya block 1 OHT,100,100,18735.938
5,31/12/2024,22:26:41,Vinaya block 1 OHT,100,100,18735.938
6,31/12/2024,22:06:40,Vinaya block 1 OHT,100,100,18735.938
7,31/12/2024,21:46:40,Vinaya block 1 OHT,100,100,18735.938
8,31/12/2024,21:26:40,Vinaya block 1 OHT,100,100,18735.938
9,31/12/2024,21:06:40,Vinaya block 1 OHT,100,100,18735.938
10,31/12/2024,20:46:40,Vinaya block 1 OHT,100,100,18735.938
11,31/12/2024,20:26:40,Vinaya block 1 OHT,100,100,18735.938
12,31/12/2024,20:06:40,Vinaya block 1 OHT,100,100,18735.938
13,31/12/2024,19:46:40,Vinaya block 1 OHT,100,100,18735.938
14,31/12/2024,19:26:40,Vinaya block 1 OHT,100,100,18735.938
15,31/12/2024,19:06:40,Vinaya block 1 OHT,100,100,18735.938
16,31/12/2024,18:46:40,Vinaya block 1 OHT,100,100,18735.938
17,31/12/2024,18:26:40,Vinaya block 1 OHT,100,100,18735.938
18,31/12/2024,18:06:40,Vinaya block 1 OHT,100,100,18735.938
19,31/12/2024,17:46:41,Vinaya block 1 OHT,100,100,18735.938
20,31/12/2024,17:26:41,Vinaya block 1 OHT,100,100,18735.938
21,31/12/2024,17:06:40,Vinaya block 1 OHT,100,100,18735.938
22,31/12/2024,16:46:41,Vinaya block 1 OHT,100,100,18735.938
23,31/12/2024,16:26:41,Vinaya block 1 OHT,100,100,18735.938
24,31/12/2024,16:06:41,Vinaya block 1 OHT,100,100,18735.938
25,31/12/2024,15:46:41,Vinaya block 1 OHT,100,100,18735.938
26,31/12/2024,15:26:41,Vinaya block 1 OHT,100,100,18735.938
27,31/12/2024,15:06:41,Vinaya block 1 OHT,100,100,18735.938
28,31/12/2024,14:46:41,Vinaya block 1 OHT,100,100,18735.938
29,31/12/2024,14:26:41,Vinaya block 1 OHT,100,100,18735.938
