Serial No.,Date,Time,Device Name,battery_percentage,filled_level,litres
1,31/12/2024,23:54:35,Vinnaya  Block 2,99,59.32,49472.5
2,31/12/2024,23:34:35,Vinnaya  Block 2,99,59.46,49585.19
3,31/12/2024,23:14:35,Vinnaya  Block 2,98,59.46,49585.19
4,31/12/2024,22:54:35,Vinnaya  Block 2,99,59.46,49585.19
5,31/12/2024,22:34:35,Vinnaya  Block 2,100,59.59,49697.89
6,31/12/2024,22:14:35,Vinnaya  Block 2,100,59.59,49697.89
7,31/12/2024,21:54:35,Vinnaya  Block 2,99,59.73,49810.58
8,31/12/2024,21:34:35,Vinnaya  Block 2,99,58.38,48683.64
9,31/12/2024,21:14:35,Vinnaya  Block 2,99,56.89,47444.01
10,31/12/2024,20:54:35,Vinnaya  Block 2,99,57.03,47556.71
11,31/12/2024,20:34:35,Vinnaya  Block 2,99,57.03,47556.71
12,31/12/2024,20:14:35,Vinnaya  Block 2,99,57.16,47669.4
13,31/12/2024,19:54:35,Vinnaya  Block 2,99,57.16,47669.4
14,31/12/2024,19:34:35,Vinnaya  Block 2,99,57.16,47669.4
15,31/12/2024,19:14:35,Vinnaya  Block 2,99,57.3,47782.1
16,31/12/2024,18:54:35,Vinnaya  Block 2,99,57.3,47782.1
17,31/12/2024,18:34:35,Vinnaya  Block 2,99,57.43,47894.79
18,31/12/2024,18:14:35,Vinnaya  Block 2,99,57.43,47894.79
19,31/12/2024,17:54:35,Vinnaya  Block 2,99,57.57,48007.48
20,31/12/2024,17:34:35,Vinnaya  Block 2,100,57.57,48007.48
21,31/12/2024,17:14:35,Vinnaya  Block 2,100,57.7,48120.18
22,31/12/2024,16:54:35,Vinnaya  Block 2,100,57.84,48232.87
23,31/12/2024,16:34:35,Vinnaya  Block 2,100,57.84,48232.87
24,31/12/2024,16:14:35,Vinnaya  Block 2,100,57.97,48345.56
25,31/12/2024,15:54:35,Vinnaya  Block 2,100,57.97,48345.56
26,31/12/2024,15:34:35,Vinnaya  Block 2,100,57.97,48345.56
27,31/12/2024,15:14:35,Vinnaya  Block 2,100,57.97,48345.56
28,31/12/2024,14:54:35,Vinnaya  Block 2,100,57.97,48345.56
29,31/12/2024,14:34:35,Vinnaya  Block 2,100,57.97,48345.56
30,31/12/2024,14:14:35,Vinnaya  Block 2,100,58.11,48458.26
31,31/12/2024,13:54:35,Vinnaya  Block 2,100,58.11,48458.26
32,31/12/2024,13:34:35,Vinnaya  Block 2,100,58.24,48570.95
33,31/12/2024,13:14:35,Vinnaya  Block 2,100,58.24,48570.95
34,31/12/2024,12:54:36,Vinnaya  Block 2,99,58.38,48683.64
35,31/12/2024,12:34:36,Vinnaya  Block 2,100,58.38,48683.64
36,31/12/2024,12:14:36,Vinnaya  Block 2,98,58.65,48909.03
37,31/12/2024,11:54:36,Vinnaya  Block 2,100,55.95,46655.16
38,31/12/2024,11:34:36,Vinnaya  Block 2,96,54.46,45415.53
39,31/12/2024,11:14:36,Vinnaya  Block 2,99,54.59,45528.22
40,31/12/2024,10:54:36,Vinnaya  Block 2,100,54.59,45528.22
41,31/12/2024,10:34:36,Vinnaya  Block 2,100,54.73,45640.92
42,31/12/2024,10:14:36,Vinnaya  Block 2,100,54.86,45753.61
43,31/12/2024,09:54:36,Vinnaya  Block 2,97,55,45866.3
44,31/12/2024,09:34:36,Vinnaya  Block 2,99,55.14,45979
45,31/12/2024,09:14:36,Vinnaya  Block 2,97,53.51,44626.67
46,31/12/2024,08:54:36,Vinnaya  Block 2,99,53.65,44739.37
47,31/12/2024,08:34:36,Vinnaya  Block 2,98,53.78,44852.06
48,31/12/2024,08:14:36,Vinnaya  Block 2,96,53.65,44739.37
49,31/12/2024,07:54:36,Vinnaya  Block 2,100,53.78,44852.06
50,31/12/2024,07:34:36,Vinnaya  Block 2,98,53.92,44964.76
51,31/12/2024,07:14:36,Vinnaya  Block 2,98,53.24,44401.29
52,31/12/2024,06:54:36,Vinnaya  Block 2,98,52.84,44063.21
53,31/12/2024,06:34:36,Vinnaya  Block 2,95,52.97,44175.9
54,31/12/2024,06:14:36,Vinnaya  Block 2,99,52.97,44175.9
55,31/12/2024,05:54:36,Vinnaya  Block 2,98,53.11,44288.59
56,31/12/2024,05:34:36,Vinnaya  Block 2,99,53.11,44288.59
57,31/12/2024,05:14:36,Vinnaya  Block 2,98,53.11,44288.59
58,31/12/2024,04:54:36,Vinnaya  Block 2,95,53.11,44288.59
59,31/12/2024,04:34:36,Vinnaya  Block 2,93,53.24,44401.29
60,31/12/2024,04:14:36,Vinnaya  Block 2,98,53.24,44401.29
61,31/12/2024,03:54:36,Vinnaya  Block 2,98,53.24,44401.29
62,31/12/2024,03:34:36,Vinnaya  Block 2,95,53.38,44513.98
63,31/12/2024,03:14:36,Vinnaya  Block 2,99,53.38,44513.98
64,31/12/2024,02:54:36,Vinnaya  Block 2,100,53.38,44513.98
65,31/12/2024,02:34:36,Vinnaya  Block 2,95,53.51,44626.67
66,31/12/2024,02:14:36,Vinnaya  Block 2,99,53.51,44626.67
67,31/12/2024,01:54:36,Vinnaya  Block 2,99,53.65,44739.37
