Serial No.,Date,Time,Device Name,battery_percentage,filled_level,litres
1,31/12/2024,23:49:09,Kaveri ugt level,87,68.8,330453.05
2,31/12/2024,23:29:09,Kaveri ugt level,88,68.17,327408.96
3,31/12/2024,23:09:09,Kaveri ugt level,89,67.54,324364.87
4,31/12/2024,22:49:10,Kaveri ugt level,88,66.73,320475.19
5,31/12/2024,22:29:17,Kaveri ugt level,87,66.02,317092.87
6,31/12/2024,22:09:10,Kaveri ugt level,88,65.14,312864.96
7,31/12/2024,21:49:09,Kaveri ugt level,91,64.37,309144.41
8,31/12/2024,21:29:10,Kaveri ugt level,89,63.63,305592.97
9,31/12/2024,21:09:10,Kaveri ugt level,90,62.54,300350.37
10,31/12/2024,20:49:09,Kaveri ugt level,92,61.58,295784.23
11,31/12/2024,20:29:10,Kaveri ugt level,88,60.42,290203.39
12,31/12/2024,20:09:10,Kaveri ugt level,88,59.05,283607.86
13,31/12/2024,19:49:09,Kaveri ugt level,88,57.5,276166.75
14,31/12/2024,19:29:10,Kaveri ugt level,88,57.78,277519.68
15,31/12/2024,19:09:10,Kaveri ugt level,90,58.73,282085.82
16,31/12/2024,18:49:10,Kaveri ugt level,92,60.14,288850.46
17,31/12/2024,18:29:10,Kaveri ugt level,91,60.18,289019.58
18,31/12/2024,18:09:10,Kaveri ugt level,94,60.21,289188.7
19,31/12/2024,17:49:10,Kaveri ugt level,89,60.18,289019.58
20,31/12/2024,17:29:09,Kaveri ugt level,94,60.21,289188.7
21,31/12/2024,17:09:10,Kaveri ugt level,89,60.18,289019.58
22,31/12/2024,16:49:29,Kaveri ugt level,90,60.21,289188.7
23,31/12/2024,16:29:10,Kaveri ugt level,92,60.6,291048.98
24,31/12/2024,16:09:10,Kaveri ugt level,93,63.8,306438.55
25,31/12/2024,15:49:10,Kaveri ugt level,93,63.8,306438.55
26,31/12/2024,15:29:10,Kaveri ugt level,92,63.8,306438.55
27,31/12/2024,15:09:10,Kaveri ugt level,94,63.77,306269.43
28,31/12/2024,14:49:10,Kaveri ugt level,92,63.77,306269.43
29,31/12/2024,14:29:10,Kaveri ugt level,94,63.77,306269.43
30,31/12/2024,14:09:10,Kaveri ugt level,95,63.77,306269.43
31,31/12/2024,13:49:10,Kaveri ugt level,95,63.8,306438.55
32,31/12/2024,13:29:10,Kaveri ugt level,93,63.73,306100.32
33,31/12/2024,13:09:10,Kaveri ugt level,95,67.57,324533.98
34,31/12/2024,12:49:10,Kaveri ugt level,93,71.41,342967.65
35,31/12/2024,12:29:10,Kaveri ugt level,94,74.89,359710.15
36,31/12/2024,12:09:10,Kaveri ugt level,93,77.96,374423.26
37,31/12/2024,11:49:10,Kaveri ugt level,92,80.99,388967.25
38,31/12/2024,11:29:10,Kaveri ugt level,94,83.56,401312.74
39,31/12/2024,11:09:11,Kaveri ugt level,92,82.57,396577.48
40,31/12/2024,10:49:11,Kaveri ugt level,92,81.48,391334.88
41,31/12/2024,10:29:11,Kaveri ugt level,91,80.21,385246.7
42,31/12/2024,10:09:19,Kaveri ugt level,93,80,384232
43,31/12/2024,09:49:10,Kaveri ugt level,92,81.8,392856.93
44,31/12/2024,09:29:10,Kaveri ugt level,91,83.45,400805.39
45,31/12/2024,09:09:10,Kaveri ugt level,91,83.06,398945.11
46,31/12/2024,08:49:11,Kaveri ugt level,88,82.57,396577.48
47,31/12/2024,08:29:11,Kaveri ugt level,90,82.11,394378.97
48,31/12/2024,08:09:10,Kaveri ugt level,91,81.58,391842.23
49,31/12/2024,07:49:10,Kaveri ugt level,88,80.99,388967.25
50,31/12/2024,07:29:10,Kaveri ugt level,91,82.08,394209.86
51,31/12/2024,07:09:10,Kaveri ugt level,89,80.85,388290.79
52,31/12/2024,06:49:10,Kaveri ugt level,87,81.83,393026.04
53,31/12/2024,06:29:10,Kaveri ugt level,90,81.69,392349.58
54,31/12/2024,06:09:10,Kaveri ugt level,90,82.29,395224.55
55,31/12/2024,05:49:10,Kaveri ugt level,88,86.2,413996.45
56,31/12/2024,05:29:10,Kaveri ugt level,86,88.27,423974.31
57,31/12/2024,05:09:10,Kaveri ugt level,88,91.76,440716.81
58,31/12/2024,04:49:10,Kaveri ugt level,87,96.2,462025.45
59,31/12/2024,04:29:11,Kaveri ugt level,87,94.82,455429.92
60,31/12/2024,04:09:10,Kaveri ugt level,88,91.97,441731.51
61,31/12/2024,03:49:11,Kaveri ugt level,87,89.26,428709.56
62,31/12/2024,03:29:11,Kaveri ugt level,90,86.58,415856.73
63,31/12/2024,03:09:11,Kaveri ugt level,87,83.94,403173.01
64,31/12/2024,02:49:11,Kaveri ugt level,86,81.3,390489.3
65,31/12/2024,02:29:11,Kaveri ugt level,87,78.59,377467.35
66,31/12/2024,02:09:11,Kaveri ugt level,88,75.74,363768.94
67,31/12/2024,01:49:11,Kaveri ugt level,88,73.13,351254.34
68,31/12/2024,01:29:11,Kaveri ugt level,88,70.46,338401.51
69,31/12/2024,01:09:11,Kaveri ugt level,90,67.64,324872.21
70,31/12/2024,00:49:12,Kaveri ugt level,89,64.89,311681.15
71,31/12/2024,00:29:12,Kaveri ugt level,88,62.25,298997.44
72,31/12/2024,00:09:12,Kaveri ugt level,88,59.4,285299.02
73,30/12/2024,23:49:12,Kaveri ugt level,90,56.9,273291.77
74,30/12/2024,23:29:11,Kaveri ugt level,88,53.98,259255.13
75,30/12/2024,23:09:12,Kaveri ugt level,89,51.16,245725.83
76,30/12/2024,22:49:11,Kaveri ugt level,91,50.35,241836.16
77,30/12/2024,22:29:23,Kaveri ugt level,89,50.39,242005.28
78,30/12/2024,22:09:12,Kaveri ugt level,87,50.39,242005.28
79,30/12/2024,21:49:12,Kaveri ugt level,88,50.21,241159.7
80,30/12/2024,21:29:12,Kaveri ugt level,90,49.61,238284.72
81,30/12/2024,21:09:12,Kaveri ugt level,92,49.01,235409.75
82,30/12/2024,20:49:11,Kaveri ugt level,88,48.2,231520.07
83,30/12/2024,20:29:12,Kaveri ugt level,90,47.01,225770.12
84,30/12/2024,20:09:11,Kaveri ugt level,91,45.63,219174.59
85,30/12/2024,19:49:12,Kaveri ugt level,88,44.23,212409.94
86,30/12/2024,19:29:12,Kaveri ugt level,88,44.96,215961.38
87,30/12/2024,19:09:12,Kaveri ugt level,88,45.7,219512.82
88,30/12/2024,18:49:12,Kaveri ugt level,92,45.21,217145.2
89,30/12/2024,18:29:12,Kaveri ugt level,91,45.21,217145.2
90,30/12/2024,18:09:11,Kaveri ugt level,92,45.21,217145.2
91,30/12/2024,17:49:20,Kaveri ugt level,89,45.21,217145.2
92,30/12/2024,17:29:11,Kaveri ugt level,89,45.21,217145.2
93,30/12/2024,17:09:12,Kaveri ugt level,90,45.21,217145.2
94,30/12/2024,16:49:12,Kaveri ugt level,93,45.21,217145.2
95,30/12/2024,16:29:08,Kaveri ugt level,93,45.21,217145.2
96,30/12/2024,16:09:09,Kaveri ugt level,90,47.61,228645.1
97,30/12/2024,15:49:19,Kaveri ugt level,93,47.61,228645.1
98,30/12/2024,15:29:10,Kaveri ugt level,94,47.61,228645.1
99,30/12/2024,15:09:10,Kaveri ugt level,95,47.61,228645.1
100,30/12/2024,14:49:11,Kaveri ugt level,93,48.2,231520.07
101,30/12/2024,14:29:11,Kaveri ugt level,95,51.87,249108.16
102,30/12/2024,14:09:11,Kaveri ugt level,92,55.74,267710.94
103,30/12/2024,13:49:12,Kaveri ugt level,94,57.89,278027.03
104,30/12/2024,13:29:11,Kaveri ugt level,92,57.46,275997.63
105,30/12/2024,13:09:12,Kaveri ugt level,90,56.76,272615.31
106,30/12/2024,12:49:13,Kaveri ugt level,92,55.85,268218.29
107,30/12/2024,12:29:13,Kaveri ugt level,92,54.82,263313.92
108,30/12/2024,12:09:13,Kaveri ugt level,91,57.04,273968.24
109,30/12/2024,11:49:13,Kaveri ugt level,90,58.06,278872.61
110,30/12/2024,11:29:12,Kaveri ugt level,92,55.56,266865.36
111,30/12/2024,11:09:10,Kaveri ugt level,95,52.92,254181.64
112,30/12/2024,10:49:11,Kaveri ugt level,91,50.63,243189.09
113,30/12/2024,10:29:11,Kaveri ugt level,92,51.73,248431.69
114,30/12/2024,10:09:12,Kaveri ugt level,95,53.1,255027.23
115,30/12/2024,09:49:12,Kaveri ugt level,92,54.33,260946.29
116,30/12/2024,09:29:13,Kaveri ugt level,91,57.39,275659.4
117,30/12/2024,09:09:13,Kaveri ugt level,91,61.23,294093.07
118,30/12/2024,08:49:13,Kaveri ugt level,93,64.33,308975.29
