Serial No.,Date,Time,Device Name,battery,raw_data,water_flow_in_cubic_meter,water_flow_in_litre
1,31/12/2024,23:24:13,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
2,31/12/2024,22:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
3,31/12/2024,16:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
4,31/12/2024,10:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
5,31/12/2024,04:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
6,30/12/2024,23:24:13,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
7,30/12/2024,22:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
8,30/12/2024,16:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
9,30/12/2024,10:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
10,30/12/2024,04:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
11,29/12/2024,23:24:13,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
12,29/12/2024,22:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
13,29/12/2024,16:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
14,29/12/2024,10:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
15,29/12/2024,04:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
16,28/12/2024,23:24:11,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
17,28/12/2024,22:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
18,28/12/2024,16:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
19,28/12/2024,10:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
20,28/12/2024,04:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
21,27/12/2024,23:24:13,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
22,27/12/2024,22:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
23,27/12/2024,16:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
24,27/12/2024,10:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
25,27/12/2024,04:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
26,26/12/2024,23:24:12,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
27,26/12/2024,22:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
28,26/12/2024,16:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
29,26/12/2024,10:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
30,26/12/2024,04:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
31,25/12/2024,23:24:13,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
32,25/12/2024,22:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
33,25/12/2024,16:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
34,25/12/2024,10:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
35,25/12/2024,04:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
36,24/12/2024,23:24:12,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
37,24/12/2024,22:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
38,24/12/2024,16:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
39,24/12/2024,10:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
40,24/12/2024,04:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
41,23/12/2024,23:24:11,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
42,23/12/2024,22:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
43,23/12/2024,16:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
44,23/12/2024,10:53:48,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
45,23/12/2024,04:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
46,22/12/2024,23:24:12,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
47,22/12/2024,22:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
48,22/12/2024,16:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
49,22/12/2024,10:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
50,22/12/2024,04:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
51,21/12/2024,23:24:12,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
52,21/12/2024,16:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
53,21/12/2024,04:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
54,20/12/2024,23:24:12,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
55,20/12/2024,22:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
56,20/12/2024,16:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
57,20/12/2024,10:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
58,20/12/2024,04:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
59,19/12/2024,23:24:12,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
60,19/12/2024,22:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
61,19/12/2024,16:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
62,19/12/2024,10:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
63,19/12/2024,04:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
64,18/12/2024,23:24:12,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
65,18/12/2024,22:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
66,18/12/2024,16:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
67,18/12/2024,10:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
68,18/12/2024,04:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
69,17/12/2024,23:24:12,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
70,17/12/2024,22:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
71,17/12/2024,16:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
72,17/12/2024,10:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
73,17/12/2024,04:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
74,16/12/2024,23:24:12,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
75,16/12/2024,22:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
76,16/12/2024,16:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
77,16/12/2024,10:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
78,16/12/2024,04:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
79,15/12/2024,23:24:12,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
80,15/12/2024,22:53:51,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
81,15/12/2024,16:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
82,15/12/2024,10:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
83,15/12/2024,04:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
84,14/12/2024,23:24:11,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
85,14/12/2024,22:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
86,14/12/2024,16:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
87,14/12/2024,10:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
88,14/12/2024,04:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
89,13/12/2024,23:24:11,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
90,13/12/2024,22:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
91,13/12/2024,16:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
92,13/12/2024,10:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
93,13/12/2024,04:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
94,12/12/2024,23:24:21,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
95,12/12/2024,23:24:11,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
96,12/12/2024,22:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
97,12/12/2024,16:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
98,12/12/2024,10:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
99,12/12/2024,04:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
100,11/12/2024,23:24:12,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
101,11/12/2024,22:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
102,11/12/2024,16:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
103,11/12/2024,10:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
104,11/12/2024,04:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
105,10/12/2024,23:24:11,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
106,10/12/2024,22:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
107,10/12/2024,16:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
108,10/12/2024,10:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
109,10/12/2024,04:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
110,09/12/2024,23:24:11,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
111,09/12/2024,22:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
112,09/12/2024,16:54:10,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
113,09/12/2024,16:54:00,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
114,09/12/2024,16:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
115,09/12/2024,04:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
116,08/12/2024,23:24:11,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
117,08/12/2024,22:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
118,08/12/2024,16:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
119,08/12/2024,10:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
120,08/12/2024,04:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
121,07/12/2024,23:24:11,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
122,07/12/2024,22:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
123,07/12/2024,16:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
124,07/12/2024,10:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
125,07/12/2024,04:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
126,06/12/2024,23:24:11,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
127,06/12/2024,22:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
128,06/12/2024,16:54:00,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
129,06/12/2024,16:53:50,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
130,06/12/2024,10:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
131,06/12/2024,04:53:59,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
132,06/12/2024,04:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
133,05/12/2024,23:24:11,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
134,05/12/2024,22:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
135,05/12/2024,16:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
136,05/12/2024,10:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
137,05/12/2024,04:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
138,04/12/2024,23:24:11,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
139,04/12/2024,22:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
140,04/12/2024,16:53:48,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
141,04/12/2024,10:53:49,Library outlet 2,100,1036.1,1036.1,1.0360999999999999e+06
