Serial No.,Date,Time,Device Name,battery,raw_data,water_flow_in_cubic_meter,water_flow_in_litre
1,31/12/2024,23:48:10,Library outlet 1,100,463.3,463.3,463300
2,31/12/2024,23:07:32,Library outlet 1,100,463.3,463.3,463300
3,31/12/2024,17:07:32,Library outlet 1,100,463.3,463.3,463300
4,31/12/2024,11:07:32,Library outlet 1,100,463.3,463.3,463300
5,31/12/2024,05:07:32,Library outlet 1,100,463.3,463.3,463300
6,30/12/2024,23:48:09,Library outlet 1,100,463.3,463.3,463300
7,30/12/2024,23:07:32,Library outlet 1,100,463.3,463.3,463300
8,30/12/2024,17:07:31,Library outlet 1,100,463.3,463.3,463300
9,30/12/2024,11:07:29,Library outlet 1,100,463.3,463.3,463300
10,30/12/2024,05:07:31,Library outlet 1,100,463.3,463.3,463300
11,29/12/2024,23:48:09,Library outlet 1,100,463.3,463.3,463300
12,29/12/2024,23:07:31,Library outlet 1,100,463.3,463.3,463300
13,29/12/2024,17:07:31,Library outlet 1,100,463.3,463.3,463300
14,29/12/2024,11:07:31,Library outlet 1,100,463.3,463.3,463300
15,29/12/2024,05:07:31,Library outlet 1,100,463.3,463.3,463300
16,28/12/2024,23:48:07,Library outlet 1,100,463.3,463.3,463300
17,28/12/2024,23:07:30,Library outlet 1,100,463.3,463.3,463300
18,28/12/2024,17:07:30,Library outlet 1,100,463.3,463.3,463300
19,28/12/2024,11:07:30,Library outlet 1,100,463.3,463.3,463300
20,28/12/2024,05:07:30,Library outlet 1,100,463.3,463.3,463300
21,27/12/2024,23:48:08,Library outlet 1,100,463.3,463.3,463300
22,27/12/2024,23:07:30,Library outlet 1,100,463.3,463.3,463300
23,27/12/2024,17:07:30,Library outlet 1,100,463.3,463.3,463300
24,27/12/2024,11:07:30,Library outlet 1,100,463.3,463.3,463300
25,27/12/2024,05:07:30,Library outlet 1,100,463.3,463.3,463300
26,26/12/2024,23:48:07,Library outlet 1,100,463.3,463.3,463300
27,26/12/2024,23:07:29,Library outlet 1,100,463.3,463.3,463300
28,26/12/2024,17:07:28,Library outlet 1,100,463.3,463.3,463300
29,26/12/2024,11:07:29,Library outlet 1,100,463.3,463.3,463300
30,26/12/2024,05:07:29,Library outlet 1,100,463.3,463.3,463300
31,25/12/2024,23:48:07,Library outlet 1,100,463.3,463.3,463300
32,25/12/2024,23:07:29,Library outlet 1,100,463.3,463.3,463300
33,25/12/2024,17:07:29,Library outlet 1,100,463.3,463.3,463300
34,25/12/2024,11:07:29,Library outlet 1,100,463.3,463.3,463300
35,25/12/2024,05:07:29,Library outlet 1,100,463.3,463.3,463300
36,24/12/2024,23:48:06,Library outlet 1,100,463.3,463.3,463300
37,24/12/2024,23:07:29,Library outlet 1,100,463.3,463.3,463300
38,24/12/2024,17:07:29,Library outlet 1,100,463.3,463.3,463300
39,24/12/2024,11:07:29,Library outlet 1,100,463.3,463.3,463300
40,24/12/2024,05:07:28,Library outlet 1,100,463.3,463.3,463300
41,23/12/2024,23:48:04,Library outlet 1,100,463.3,463.3,463300
42,23/12/2024,23:07:27,Library outlet 1,100,463.3,463.3,463300
43,23/12/2024,17:07:27,Library outlet 1,100,463.3,463.3,463300
44,23/12/2024,11:07:25,Library outlet 1,100,463.3,463.3,463300
45,23/12/2024,05:07:28,Library outlet 1,100,463.3,463.3,463300
46,22/12/2024,23:48:05,Library outlet 1,100,463.3,463.3,463300
47,22/12/2024,23:07:28,Library outlet 1,100,463.3,463.3,463300
48,22/12/2024,17:07:28,Library outlet 1,100,463.3,463.3,463300
49,22/12/2024,11:07:38,Library outlet 1,100,463.3,463.3,463300
50,22/12/2024,11:07:28,Library outlet 1,100,463.3,463.3,463300
51,22/12/2024,05:07:27,Library outlet 1,100,463.3,463.3,463300
52,21/12/2024,23:48:05,Library outlet 1,100,463.3,463.3,463300
53,21/12/2024,23:07:27,Library outlet 1,100,463.3,463.3,463300
54,21/12/2024,17:07:27,Library outlet 1,100,463.3,463.3,463300
55,21/12/2024,05:07:27,Library outlet 1,100,463.3,463.3,463300
56,20/12/2024,23:48:04,Library outlet 1,100,463.3,463.3,463300
57,20/12/2024,23:07:27,Library outlet 1,100,463.3,463.3,463300
58,20/12/2024,17:07:27,Library outlet 1,100,463.3,463.3,463300
59,20/12/2024,11:07:26,Library outlet 1,100,463.3,463.3,463300
60,20/12/2024,05:07:26,Library outlet 1,100,463.3,463.3,463300
61,19/12/2024,23:48:04,Library outlet 1,100,463.3,463.3,463300
62,19/12/2024,23:07:26,Library outlet 1,100,463.3,463.3,463300
63,19/12/2024,17:07:26,Library outlet 1,100,463.3,463.3,463300
64,19/12/2024,11:07:36,Library outlet 1,100,463.3,463.3,463300
65,19/12/2024,11:07:26,Library outlet 1,100,463.3,463.3,463300
66,19/12/2024,05:07:26,Library outlet 1,100,463.3,463.3,463300
67,18/12/2024,23:48:03,Library outlet 1,100,463.3,463.3,463300
68,18/12/2024,23:07:26,Library outlet 1,100,463.3,463.3,463300
69,18/12/2024,17:07:25,Library outlet 1,100,463.3,463.3,463300
70,18/12/2024,11:07:26,Library outlet 1,100,463.3,463.3,463300
71,18/12/2024,05:07:26,Library outlet 1,100,463.3,463.3,463300
72,17/12/2024,23:48:03,Library outlet 1,100,463.3,463.3,463300
73,17/12/2024,23:07:25,Library outlet 1,100,463.3,463.3,463300
74,17/12/2024,17:07:25,Library outlet 1,100,463.3,463.3,463300
