Serial No.,Date,Time,Device Name,battery,raw_data,water_flow_in_cubic_meter,water_flow_in_litre
1,31-12-2024,23:32:03,SOC Outlet-01,100,4696.7,4696.7,4.70E+06
2,31-12-2024,17:32:03,SOC Outlet-01,100,4695.1,4695.1,4.70E+06
3,31-12-2024,11:32:03,SOC Outlet-01,100,4692.5,4692.5,4.69E+06
4,31-12-2024,05:32:03,SOC Outlet-01,100,4689.2,4689.2,4.69E+06
5,31-12-2024,00:16:38,SOC Outlet-01,100,4689.1,4689.1,4.69E+06
6,30-12-2024,23:32:03,SOC Outlet-01,100,4689.1,4689.1,4.69E+06
7,30-12-2024,17:32:02,SOC Outlet-01,100,4689,4689,4.69E+06
8,30-12-2024,11:32:02,SOC Outlet-01,100,4688.5,4688.5,4.69E+06
9,30-12-2024,05:32:03,SOC Outlet-01,100,4688.2,4688.2,4.69E+06
10,30-12-2024,00:16:38,SOC Outlet-01,100,4688,4688,4.69E+06
11,29-12-2024,23:32:02,SOC Outlet-01,100,4688,4688,4.69E+06
12,29-12-2024,17:32:02,SOC Outlet-01,100,4687.9,4687.9,4.69E+06
13,29-12-2024,11:32:02,SOC Outlet-01,100,4687.7,4687.7,4.69E+06
14,29-12-2024,05:32:02,SOC Outlet-01,100,4687.5,4687.5,4.69E+06
15,29-12-2024,00:16:37,SOC Outlet-01,100,4687.3,4687.3,4.69E+06
16,28-12-2024,23:32:01,SOC Outlet-01,100,4687.3,4687.3,4.69E+06
17,28-12-2024,17:32:02,SOC Outlet-01,100,4687.1,4687.1,4.69E+06
18,28-12-2024,11:32:01,SOC Outlet-01,100,4686.3,4686.3,4.69E+06
19,28-12-2024,05:32:02,SOC Outlet-01,100,4684.9,4684.9,4.68E+06
20,28-12-2024,00:16:37,SOC Outlet-01,100,4684.8,4684.8,4.68E+06
21,27-12-2024,23:32:01,SOC Outlet-01,100,4684.8,4684.8,4.68E+06
22,27-12-2024,17:32:02,SOC Outlet-01,100,4684.5,4684.5,4.68E+06
23,27-12-2024,11:32:01,SOC Outlet-01,100,4682.6,4682.6,4.68E+06
24,27-12-2024,05:32:01,SOC Outlet-01,100,4681.4,4681.4,4.68E+06
25,27-12-2024,00:16:37,SOC Outlet-01,100,4681.4,4681.4,4.68E+06
26,26-12-2024,23:32:01,SOC Outlet-01,100,4681.3,4681.3,4.68E+06
27,26-12-2024,17:31:59,SOC Outlet-01,100,4681.2,4681.2,4.68E+06
28,26-12-2024,11:32:01,SOC Outlet-01,100,4679.5,4679.5,4.68E+06
29,26-12-2024,05:32:01,SOC Outlet-01,100,4678.6,4678.6,4.68E+06
30,25-12-2024,23:32:01,SOC Outlet-01,100,4678.6,4678.6,4.68E+06
31,25-12-2024,17:32:11,SOC Outlet-01,100,4678.5,4678.5,4.68E+06
32,25-12-2024,17:32:01,SOC Outlet-01,100,4678.5,4678.5,4.68E+06
33,25-12-2024,11:32:01,SOC Outlet-01,100,4677.6,4677.6,4.68E+06
34,25-12-2024,05:32:00,SOC Outlet-01,100,4676.3,4676.3,4.68E+06
35,25-12-2024,00:16:36,SOC Outlet-01,100,4675.4,4675.4,4.68E+06
36,24-12-2024,23:32:00,SOC Outlet-01,100,4675.3,4675.3,4.68E+06
37,24-12-2024,17:32:00,SOC Outlet-01,100,4674,4674,4.67E+06
38,24-12-2024,11:32:00,SOC Outlet-01,100,4671.3,4671.3,4.67E+06
39,24-12-2024,05:32:00,SOC Outlet-01,100,4669.3,4669.3,4.67E+06
40,24-12-2024,00:16:34,SOC Outlet-01,100,4669.2,4669.2,4.67E+06
41,23-12-2024,23:31:58,SOC Outlet-01,100,4669.2,4669.2,4.67E+06
